Name,Lat,Lon,Url
CAN_AB_Cold.Lake.AP.711200_CWEC2016.zip,54.417,110.283,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cold.Lake.AP.711200_CWEC2016.zip
DZA_GL_Guelma.604030_TMYx.zip,36.467,7.467,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GL_Guelma/DZA_GL_Guelma.604030_TMYx.zip
CAN_AB_Lloydminster.AP.718710_CWEC2016.zip,53.309,110.073,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lloydminster.AP.718710_CWEC2016.zip
CAN_AB_Three.Hills.712490_CWEC2016.zip,51.768,113.206,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Three.Hills.712490_CWEC2016.zip
DZA_GR_Ghardaia-Noumerat-Zakaria.AP.605660_TMYx.2003-2017.zip,32.384,3.794,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GR_Ghardaia/DZA_GR_Ghardaia-Noumerat-Zakaria.AP.605660_TMYx.2003-2017.zip
CAN_AB_Consort.AgDM.712230_CWEC2016.zip,51.937,110.713,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Consort.AgDM.712230_CWEC2016.zip
DZA_GR_Golea.AP.605900_TMYx.2003-2017.zip,30.571,2.86,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GR_Ghardaia/DZA_GR_Golea.AP.605900_TMYx.2003-2017.zip
CAN_AB_Manning.AgDM.712290_CWEC2016.zip,56.974,117.451,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Manning.AgDM.712290_CWEC2016.zip
DZA_GR_Golea.AP.605900_TMYx.zip,30.571,2.86,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GR_Ghardaia/DZA_GR_Golea.AP.605900_TMYx.zip
CAN_AB_Two.Hills.AgDM.712760_CWEC2016.zip,53.625,111.678,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Two.Hills.AgDM.712760_CWEC2016.zip
DZA_GR_Ghardaia-Noumerat-Zakaria.AP.605660_TMYx.zip,32.384,3.794,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GR_Ghardaia/DZA_GR_Ghardaia-Noumerat-Zakaria.AP.605660_TMYx.zip
CAN_AB_Coronation.AP.713180_CWEC2016.zip,52.074,111.449,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Coronation.AP.713180_CWEC2016.zip
DZA_IL_Afara.606770_TMYx.2003-2017.zip,25.333,7.8,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Afara.606770_TMYx.2003-2017.zip
CAN_AB_Masinasin.AgDM.713450_CWEC2016.zip,49.137,111.652,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Masinasin.AgDM.713450_CWEC2016.zip
DZA_IL_In.Amenas-Zarzaitine.AP.606110_TMYx.2003-2017.zip,28.052,9.643,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_In.Amenas-Zarzaitine.AP.606110_TMYx.2003-2017.zip
CAN_AB_Valleyview.AgDM.712770_CWEC2016.zip,55.091,117.199,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Valleyview.AgDM.712770_CWEC2016.zip
DZA_IL_Tin.Fouye.AP.606390_TMYx.2003-2017.zip,28.433,7.55,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Tin.Fouye.AP.606390_TMYx.2003-2017.zip
CAN_AB_Crowsnest.712360_CWEC2016.zip,49.627,114.482,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Crowsnest.712360_CWEC2016.zip
DZA_IL_Afara.606770_TMYx.zip,25.333,7.8,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Afara.606770_TMYx.zip
CAN_AB_Medicine.Hat.AP.710260_CWEC.zip,50.03,110.72,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Medicine.Hat.AP.710260_CWEC.zip
DZA_IL_In.Amenas-Zarzaitine.AP.606110_TMYx.zip,28.052,9.643,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_In.Amenas-Zarzaitine.AP.606110_TMYx.zip
DZA_IL_Tin.Fouye.AP.606390_TMYx.zip,28.433,7.55,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Tin.Fouye.AP.606390_TMYx.zip
CAN_AB_Vauxhall.712510_CWEC2016.zip,50.05,112.133,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Vauxhall.712510_CWEC2016.zip
DZA_IL_Illizi-Takhamalt.AP.606400_TMYx.2003-2017.zip,26.724,8.623,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Illizi-Takhamalt.AP.606400_TMYx.2003-2017.zip
CAN_AB_Dapp.AgDM.713400_CWEC2016.zip,54.317,113.95,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Dapp.AgDM.713400_CWEC2016.zip
DZA_IL_Tassili.n-Ajjer.Natl.Park.606620_TMYx.2003-2017.zip,25.817,8.183,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/IL_Illizi/DZA_IL_Tassili.n-Ajjer.Natl.Park.606620_TMYx.2003-2017.zip
